id,text,sarcastic,rephrase,dialect
543,بيوزعوا سيجاره فرط مع بلح و علبه عصير و مولتو علشان يكون كسب ثواب الافطار كامل,1,يفسد الصيام بالسجائر,nile
544,انت عملت من البحر طحينة,1,بيعظم و يكبر الحاجات اللى بيعملها,nile
545,ال سابته الهانم تاخده مساحة السلالم,1,الست الكويسة لما تسيب راجل يبقى تاخده اى ست وخلاص,nile
546,رياض محرز لبس لتايلور الحجاب الله على أخلاقك,1,رياض محرز مسلم وزجته لا تستر نفسها فى لبسها ,magreb
547,البنت دى جامده الله عليكى قمر 14 يابنتى,1,بنت جميلة فى القاعة,nile
548,محسسني انك اخترعت الذره يعني,1,انت معملتش حاجة مهمة,nile
549,كريمات كريمات كريمات وداعا للتجعيد,1,لا يوجد كريم نافع لإزالة التجاعيد,nile
550,كنا فاكرينه موسى طلع فرعون,1,شخص شرير و عامل طيب,nile
551,رمضان بيه بيحب يقف على الكوره عندكو حد عيوطه والا نجيب حازم امام,1,حازم إمام لاعب ضعيف,nile
552,لو باض الديك بدل الفرخة هعديك,1,مستحيل هعملك اللى انت عاوزه مهما حصل,nile
553,استحي ده حتي عبد الناصر ما سواها,1,أنت فشلت فشل محدش فشله قبل كده,nile
554,الناس خايفة من كورونا والاذكيا مش عايزين ياخدوا اللقاح,1,الناس اغبيا عشان لو خدوا اللقاح مش هيجيلهم كورونا,nile
555,لو انت لمستها هحطك تحتها,1,كلام تكاتك يعني لو قربت منها هدوسك بيها,nile
556,بقينا فى زمن النسكافيه هو الحاجه الوحيده اللى بوش واحد,1,يعنى احنا فى زمن البشر فيه بكذا وش,nile
557,انت مفيش منك اتنين ولا يمكن يكون,1,مفيش غيرك بيتصرف التصرفات الغريبة دى ,nile
558,مين البنات دول ..من انهى مجرة,1,بنات جميلة جدا,nile
559,دى فاكرة نفسها كلوديا شيفر,1,دى فاكرة نفسها رفيعه وهى اصلا تخينه ,nile
560,استـريحـي يـا أثيوبيـا ، استـريجي يـا الصـومـال ، جووو الخليج يـذوب النعــال xD,1,حر الخليج أشد من أثيوبيا والصومال,msa
561,وزير الأوقاف على ما أزمة (( كورونا )) تخلص هيكون طرد كل الأئمة ... محتاج خازووق خشبي ..,1,وزير الاوقاف يفصل عدد كبير من الائمه في مصر,nile
562,والله يا اخويا الواحد عنده زهايمر من الان,1,أنا بنسي كل حاجة فى السن الصغير ده,nile
563,الطالب الفاشل هو الطالب الذي يمكن أن يكون الأول على فصله، لولا وجود الآخرين,1,الطالب الفاشل مش هيبقى فاشل لو كان وحده فى الفصل,nile
564,اراء الناس دي كلها جايبينها من الكابنيه,1,اراء الناس دي كلها كلام فارغ,nile
565,حوش يا ولاد هموت من كتر الضحك,1,دمك مش خفيف,nile
566,من يبحث عن امرأة طيبة وذكية وجميلة يبحث عن ثلاث نساء,1,لن يتوفر الطيبة والجمال والذكاء فى إمرأة واحدة لابد نمن ثلاث نساء,magreb
567,انت عارف يا ريس الشخص ده جزمته بعشرة من عينتك,1,الشخص ده افضل منك بكثير,nile
568,برة وجوة فرشتلك وانت مايل ايه يعدلك.,1,عملت كل شئ وانت ما فى شئ عاجبك ولا تريده,nile
569,الغباء هو المرض الوحيد الذي لا يتعب المريض وإنما يجلط كل المحيطين به,1,الغبي لا يري مشكله في نفسه,gulf
570,اخوها ياسمين دا عامل زي الست اللتاته ال محدش طلب منها تتكلم ولا تقول رأيها,1,ياريت اخو ياسمين عبد العزيز يبطل يتكلم عن اخته,nile
571,الاستاذه نيللي اللي فورمتها مظبوطه بالمللي,1,نيللي كريم جسدها الرائع ومبهر,nile
572,السؤال مين بيدور اللعبة,1,كثير مقتنعين ان كورونا ده تمثيلية,msa
573,انا الذى نظر الاعمى الى ادبى فالحمد لله انه اعمى,1,أنا فاشل ومش بعرف أكتب أدب,nile
574,جوزيه مورينيو من يريد المتعه فاليذهب الى السيرك نحن هنا نلعب كرة قدم,1,ليس بالضروره ان تجد المتعه فى كل مباريات كرة القدم,msa
575,المديره دى صعبة خالص طبلها علشان تعدى يومك,1,نافق المديرة علشان أمورك تبقى كويسة فى الشغل,nile
576,مزاجي عال العالي، احسن من هيك فش,1,مزاجي كثير سيء,levant
577,الاهم من انك تواصل السعى أن يكون ليك حد تقيل شغال فى حتمية الوصول,1,يعنى من الاخر لازم يكون عندك واسطه او حد يسندك عشان توصل لاخر القمة,nile
578,الرجاله ماتت في الحرب,1,مفيش راجل بيدافع عن حد دلوقتى,nile
579,المتعوس متعوس ولو علقوا علي باب بيته فانوس,1,الشخص النحس نحس ,nile
580,انت و الرياضيات زوج خطوط ما يتلاقاوش,1,انت غبي ما تفهمش الرياضيات,magreb
581,على قد ايدينا و ماحدش ليه خير علينا,1,ماشيين بستر ربنا علي اد حالنا ومش مستنيين مساعدة من حد,nile
582,أين الفتاة التي أقسمت لك بالبقاء، أنها أونلاين تقسم لغيري,1,بنت خاينة اقسمت متبقاش الا معايا وهي بتواعد حد تاني اونلاين,nile
583,سبحان الله ميسى فى الملعب عامل زى القطط بسبع ارواح,1,قوى بدنيا و مش بيتعب,nile
584,صاروخ الفضاء المصري اطلق عام 1970 ولم يعد حتى الان,1,مفيش صواريخ اطلقت كله كدب,nile
585,حاط روحو حاجة كبيرة,1,فاكر نفسه حد مهم,magreb
586,لو لقيتنى عملتلك كومنت على بوست او صوره اعرف انها عجبتنى لدرجه انى اتحديت كسلى وحركت صباعى عشان خاطرك,1,انى كسلانه بدرجه كبيره,nile
587,بيقولك موجة كورونا الجاية بقت معوية يعني هنلبس بدل الكمامة بامبرز,1,موجة الكرونا الجاية هتبقي معوية وتسبب إسهال,nile
588,بس عامل فيها أسد علينا,1,شديد فقط علينا,nile
589,يا بن عمي روح نقص شوية راك تبان كي الدب,1,نقص وزنك,magreb
590,قسما بالله الجزائر تعمل مننا بطاطس محمره,1,الجزائر هتهزمنا بكل سهولة في كرة القدم,nile
591,رايح يساعد الناس كلها كان ساعد نفسة اصل باب النجار مخلع,1,هو محتاج يساعد نفسه قبل مساعدة الناس,nile
592,الشاطرة ديما تغزل برجل الحمار,1,الذكية  هى من تتصرف وتنجح بأقل الامكانيات المتاحة,nile
593,يعطي الحلق للي بلا ودان,1,مش يستاهل حاجة قيمة,nile
594,داك الزين تقول مهند,1,شكله جميل مثل الممثل مهند التركي,magreb
595,نهارنا ابيض ان شاء الله,1,في مشكله كبيره وهو قلقان جامد من اول اليوم,nile
596,عاش يا وحش فاضلك 50 سنة وتبقى ارنولد شوازنجر,1,انت ياض مفكش حاجة وعمرك ما هتربي عضلات ,nile
597,وتبغى زيادة بحبك...أجيب لك قلب ثاني منين؟,1,بحبك كتير جدا وحبك يملا القلب,gulf
598,الواد الفتك فاكرني عبيط و هصدقه,1,ده غبي لكن فاكر نفسه ناصح وفتك واللي قدامه صيدقه,nile
599,وانت ما شاء الله أذكى أخواتك,1,فاكر نفسك أذكى واحد فينا وأنت مبتفهمش,nile
600,اللي متعرفش ترقص تقول الارض عوجة,1,الناس اللى بتتحجج بالظروف ومش بتحاول حتى انها تجتهد او تسعى فالحياة,nile
601,دا انت بلسم يسلام,1,انت تحاول ان تبدو جيدا لكنك غير ذلك,nile
602,فاكره انه مفيش منها اتنين وبتعرف المستخبى,1,مغرورة وانانيه وبتعرف كل حاجه,nile
603,برايطوايط هو لي يستحق الكرة الذهبية هذا العام,1,برايتوايت لاعب بمستوى محدود جدا,magreb
604,بسبب الظروف صرنا نشوف المعزة خرووف,1,الظروف تغير نظرتنا للناس كل مرة,nile
605,القرد فى عين امه غزال,1,صاحب الشئ شايفه أحسن حاجة,nile
606,لو كان فيه الخير مكنش رماه للطير,1,ان الشخص مش كويس علشان كده محدش عايزه,nile
607,مبين عليك بتفهم كثير.,1,فهمك قليل ومحدود.,levant
608,وهوا ماله اتحاد الكرة البقر اللي بيوزع من مال امه,1,اتحاد الكرة فاسد,nile
609,يلي مالو بنات ما حدا بيعرف امتى مات,1,الرجل الذى ينجب اولاد فقط ولا ينجب بنات عندما يموت لا يتم الصراخ والعويل علية فماحدش بيعرف انه مات امتى,levant
610,ودنك منين يا جحا,1,ودنك منين يا غبي,nile
611,تحت المكباج الخادع يوجد قمرا ساطع او نوع من انواع الضفادع,1,المكياج يخفي القباحه,nile
612,جا اشمو و هو ياكلو 😄,1,بغا يعاون صدق مخسرها,magreb
613,مورينيو: كرة القدم للرجال على لاعبي أرسنال التوقف عن البكاء,1,لاعبي ارسنال لا يلعبون بشكل جيد,nile
614,عم ترامب دا المفروض يبقي بتاع عصير,1,ترامب لونه برتقالي,nile
615,اصبر على جار السوء يا يرحل يا تجيله داهية تأخذه.,1,اصبر على اذية الجار حتى رحيله او غير ذلك,nile
616,اعزمني علي أكل ، فربما لست بخير يا اخي,1,أعزمنى علشان الأكل هيخلينى مبسوط,nile
617,خبير في الأنترنيت جابت مرتو طفل سمّاه دوت كوم  ههههههههههههههههههههههههههههههههههههه,1,لكثرة تأثره بالمجال الافتراضي سمى ابنه اسما مرتبطا بمجال تخصصه,msa
618,الماظ ايه يا ولاد التيت هو الشباب عارف يجب دهب لما يجيب الماظ,1,الشباب مش عارف يجيب شبكة ذهب علشان يتجوز أكيد مش هيقدر يحيب ألماظ,nile
619,مش كل مرة، تسلم الجرة,1,مش كل مرة، تسلم الامور,nile
620,معروفة انه اللي بيكبر فشخته دايما بيوقع,1,خليك على قد حالك وبلاش مظاهر,nile
621,وانت مالك اهلك يسطا بالموضوع,1,متتدخلش فى اللى ميخصكش,nile
622,لو حضرتك كنت في مهمه تدمير البلد تعليميا وتدمير جيل ..!! احب ابشرك لقد نجحت مهمتك,1,الوزير نجح نجاح ساحق في تدمير المنظومة التعليمية,nile
623,حكيم زياش ينقد عصفور من التحليق في السماء,1,المبالغة فى مدح حكيم زياش والصاق أمور خيالية به,msa
624,اللى ياكل لوحده يزور,1,لو مشاركتش اللى حواليك في الخيرالذى معك فستصاب بالهم,nile
625,واخد بيقول الحب عبترة عن حرفين حاء حمار بيكدب وباء بقرة بتصدق,1,الحب كذبة كبيرة والناس بتصدقها والبنات خاصة,nile
626,الخوازيق فى حياتى زى المناديل اسحب واحد يطلع التانى,1,كل شويه منغصات لحياتى مش بعرف اخد نفسى,nile
627,ارفع راسك فوق انت صيني,1,ان الصين سبب كل الامراض ,nile
628,مامنه للرجال يا مامنه للميه في الغربال,1,التي تثق برجل كانها وثقت بالمياه داخل منخل,nile
629,الحياة بدون أخت متل الشارع بلا زفت,1,الدنيا بدون اخوات بنات لا يمكن العيش فيها مثل الشارع غير الممهد بالزفت,levant
630,القرد بعين أمه غزال,1,"الشخص غير جميل أو قبيح"" بنظر المتحدث""",nile
631,شوية سرسجية مع بعض احنا مالنا نشوف خبر زى دا !!,1,شوية فشلة وتافهين ليه أخبارهم متصدرة الأخبار,nile
632,هوه حد هيعد وراكو الورق ورقنا والدفاتر دفترنا الناس خلاص فهمت,1,ارقام لا مصداقية لها وبيانات زائفة,nile
633,دى مفكره نفسها مارلين مرنوه 😃,1,مفكره نفسها جميله ومثيره وهى غير كده,nile
634,لست عاجزا عن قصف جبهتك لكن الصاروخ غالي والهدف رخيص,1,مش ضعيف ولا عاجز عن اني اخد حقي منك لكن انا كلامي غالي وانت اقل من اني اعملك قيمة,nile
635,هذا العبد حاط روحو ما يخراش,1,هذا الإنسان متكبر كثيرا,magreb
636,لو الجواز مش جريمه ماكنوش طلبوا اتنين شهود,1,الجواز أكبر جريمه علشان كده بيطلبو شهود عليها,nile
637,مكفاية موتمرات بقي انظرو لناس شوية ولا انتو بتحبو الهيصة عل الفاضي,1,كفاية مؤتمرات بقي وخلونا نبص لمشاكلنا نحلها بدل الشو الإعلامى على الفاضي,nile
638,عدد الحالات 3890 -- الكلية : خلاص بقي ينزلوا الكلية بعد العيد يمتحنوا قبل ما يموتوا,1,ان الامتحانات لازم تتعمل,nile
639,الحمدلله باقي لي كل المواد واخلص المذاكره,1,لم يتم تحصيل ولا مادة,gulf
640,هنحطها الفرخة ونتفرج عليها ولا بتبيض بيض دهب ونبيعه,1,خبر لا يصدق عن فرخة ب30 الف جنيه,nile
641,الوضع لوز,1,الوضع ممتاز,levant
642,كل الصرف ده وفي الاخر بقي ايه,1,يعني الراجل مكلف نفسه وجايب حاجات كتير وبردوا معفن منضفش,nile
643,قالو تعرفشي العلم قالو نزيد فيه,1,هذا متعالم,magreb
644,الوضع دندرة,1,الوضع كثير ممتاز,levant
645,الطول طول نخله والعقل عقل سلخه,1,انه كبير فى العمر والجسم وصغير فى العقل,nile
646,أنت مسوي نفسك فيها عنتر يا حلو,1,مسوي نفسك بطل مثل عنتر، تقفز على كل شيء,gulf
647,لي يشجع أرسنال ما عندوش ضغط قبل الماتش هههه,1,لي يشجع أرسنال عارف بلي خاسر خاسر يتفرج بلا ضغط,magreb
648,لو بابا طبال ماما اكيد بترقص ياهانم,1,طبع الاسره يغلب,nile
649,طفى النور يابهيه كل العسكر حرميه,1,ان العسكر ياخذون خير البلدان,nile
650,إذا أردت أن تعرف عيوبك، فقل عيبا واحدا في زوجتك وسوف تخبرك بكل عيوبك وعيوب اهلك وأصحابك وجيرانك وبعض عيوب سكان الدول المجاورة,1,عايز تتفضح طلع عيب فمراتك وهي تجيب سي ديهاتك انت واهلك وكل اللي تعرفهم,nile
651,قالو يا قاعدين يكفيكوا شر الجايين,1,يكفينا الشرور الغير معروفه,nile
652,عرفهم على بعض واعملوا مشروع وانت وحظك وشطارتك يايولعوا فيك ياتعيش فى جنة,1,عرف زوجاتك على بعض وانت وحظك في اللي هيحصل بعد كدة,nile
653,شعب مقْودة ضحكوا عليه ضحك معاهم,1,شعب يقودونه كالحمير وهو لا يفهم شئ,magreb
654,انت اصلا من بنها يبني شوف انت رايح فين,1,انت مش من هنا,nile
655,انا استحق جائزة الاوسكار في المذاكرة دا انا بذاكر ساعة في الشهر,1,انا مش بذاكر خالص,nile
656,انا كل ما اسمع الاغنيه الجديدة لامال ماهر ببقي عايز اسيب البيت والم هدومي ف كيسه بلاستيك,1,الاغنية بتشجع علي الاستقلالية ليا وللبنات,nile
657,رونالدو قالهم السلام عليكم العرب قالو رونالدو دخل للاسلام 😆😂,1,رونالدو قال كلمة بالعربية العرب ردوه مسلم,magreb
658,وحمو وشاكوش وكزبره وبقدنوس هما دول اولاد الذوات وخريجى الجامعات هما البلطجية والسرسجيه,1,حمو وشاكوش واللى زيهم بلطجية,nile
659,حنان الرجل يفوق حنان الأم 10 أضعاف عند محاولته التعرف على فتاة جديدة,1,الراجل بيمثل أنه حنون من أجل التعرف على بنت جديدة,nile
660,الي خدته القرعة تاخده ام الشعور والقرعة شعرها راح,1,ان التانيه هتلاقي نفس مصير الاولى الي كانت حلوة وجميله وزوجها طفاها,nile
661,لاثة مجانين يحب يهربوا من مستشفى المجانين، قالو نعمل خطه، لو السور طويل نقصره شويه ونهرب، ولو السور قصير نهرب على طول، راحوا ملقوش سور، قالوا يلا نرجع الخطه فشلت,1,منتهى الغباء خلى  المجانين يفكروا  أن عدم وجود السور يعني فشل الخطة,magreb
662,اللي يقولها جوزها يا عورة الناس يلعبو بيها الكورة,1,الي يتريق على مراته الناس هيتريقو عليها اكتر منه,nile
663,الحكومة دى مجاش زيها فى نزاهتها وإصلاحها,1,الحكومة فاسدة وفاشلة,nile
664,شفتك وأنت ماشي قلبي اتحيّر قلت: ده غزال ولا عجل صغير,1,الشخص لي يمشي و يتمايل يبقى يشبه للحيوانات,nile
665,دى مفكره حاله ياما هنا ياما هناك🤣,1,مفكره نفسها حاجه وهى تافهه والا تسوى,nile
666,ان شاء الله اللاعب شيكابالا هيلبسنا في اتخن حيط في النادي,1,اللاعب شيكابالا سوف يوقعنا في ورطة كبيرة,nile
667,من كان بيته من زجاج، لا يقذف الناس بالحجارة,1,هو كله عيوب,nile
668,المشكله في مصر في اهل العروسه تحس انك داخل لي تاجر جمله مش اهل واحده الا من رحم ربي,1,أهل العروسة فى مصر بيبالغوا فى المهور الا قليل منهم ,nile
669,مرار طافح هما منوينش يفوزو عليهم حتا واحد صفر تخليص حق,1,ياريت يفوزوا فوز واحد ويفرحونا ,nile
670,أنا لو شغلت اللعبة دي علي جهازي هيفرقع 😂,1,جهازي ميقدرش يشغل اللعبة دي,nile
671,أنا مهما حدث لا انظر إلى الخلف ثقة ام غرور لا غضروف,1,أنا ضهرى واجعنى مش قادر أبص للوراء فى الماضى ,nile
672,إذا لم تضحك لك الحياة دغدغها وستضحك غصبا عنها,1,ان لازم تعدي المشاكل ومينفعش نفضل عالطول زعلانين فنجبر الدنيا تضحك عشان نضحك احنا,msa
673,والله دي عزومة مراكبية كثيير,1,والله انت بتعرض خدماتك بالقول بس مش بالفعل,nile
674,علاقة ترامب بالسياسه زى علاقتى باللغه الصينيه,1,ترامب فاشل على المستوى السياسي,nile
675,قمة الجلطه تركب مع واحد احول,1,قمة الشقاء ان تركب سيارة مع شخص لا يستيع القايدة,levant
676,يبقي كده نادي الضحك مش نادى رياضى,1,نادى لا يتعامل باحترافية,nile
677,النادي الاهلي اشرف نادي في الكون,1,النادي الاهلي غير شريف,msa
678,المنتخب الليبي: متضامن مع البدري ويحتج عل اتحاد الكره المصري (والنبي سيبوووووه),1,المنتخب الليبي يتمني استمرار البدري في تدريب المنتخب لعلمه بفشله,nile
679,رونالدو يصطاد العصافير في أولد ترافورد,1,رونالدو يسدد في السماء,msa
680,با واد كفايه هتتكفى على وشك وتتعور,1,اخلص وانزل يلا هتنزل على وشك وتتصاب,nile
681,دنا كنت بحب واحدة لما كانت تقعد كانت الكنبة بترجع,1,دنا كنت بحب واحدة شكلها وحش جدا,nile
682,مبقاش فيه اخبار غير فيفي عبده الام المثالية خريجة الازهر,1,ليه الأخبار بس عن فيفى عبده الرقاصة ,nile
683,ده فاكر نفسه محور الكون,1,ده شخص غير مهم ولا أحد يبالي به,nile
684,دينا الشربيني بعد 4 أشهر غيبوبة وتلاقي حواجبها متحددة,1,مكياج دينا الشربينى مش منطقى مع دورها فى المسلسل,nile
685,الفيس تيس وتويتر عنزة,1,الفيس اصبح ملل مثل تويتر,nile
686,هي اجى صاحبك,1,هي اجى الي بتكرهه,levant
687,حوش الحب هيقطع بعضه,1,شخصان لا يحبان بعضهما,nile
688,عندها 9 عيال وعايشة حياتها وبتتصور وهى حاطة رجل على رجل وأنتى معاكى عيل واحد ومحتاسة بيه 😂😂,1,هى شاظرة وعارفة تدير أمورها وأنت خايبة ومش عارفة تتصرفى,nile
689,كبير وجايح أكبر شوي شلاغمك يكتفو بعير,1,"من شدة كبر شاربه يستطيع ان يعمل به خيط لربط البعير
معناه انو كبير فالعمر  لكنه لا يزال يهرج",magreb
690,يعيش البجح على قفا المكسوف,1,البجح بياخد حقه وحق اللى بتكسف يطلب حقه,nile
691,و يا ترى ده دكتور و لا عيان,1,الدكتور شغله مبهدل زى العيان,nile
692,طلب دعوة من أمو فقالت ربي يبعد عليك بنات الحرام و حين ذهب إلى الجامعة لم تحتك به أي فتاة,1,كثرة بنات الحرام في الجامعة جعلته لا يتعرف على أي فتاة,magreb
693,الرجال يمكنهم مقاومة  نظرية صائبة ويستسلمون لنظرة ثاقبة,1,ان الرجال يفضلوا يعاندوا وييجوا عند الستات ويلينوا,msa
694,الحمد لله انا الموضوع كان قالقنى خالص كده هعرف أنام مطمن عليكم,1,ان موضوع النقاش والكلام به وشغل الناس به هو شيء تافه جداً,nile
695,محمد صلاح قى حفل التتويج مبيسلمش على الممثلات الله على اخلاقك يا فخر العرب,1,ان محمد صلاح ميسلمش على ممثلات عشان حرام,nile
696,ان عادت تعود حط فى عينها عود,1,ان التجربه السيئه لن تتكرر,nile
697,رمضان السنة ولا اسهل منه كورونا وحر,1,رمضان جدا صعب عشان الحر و كورونا,levant
698,بعد علاقة غير شرعية دامة عشرين سنة أمريكا تطلق أفغانستان بثلاث,1,أستقلال أفغانستان,msa
699,يا مستنى السمنة من دهن النملة عمرك ما حتقلى,1,ان انتظرت من الشخص البخيل شئ فأنك ستنتظر للابد,nile
700,الشحات له نص البلد يا بلد,1,الشحات بياخد من كل الناس يعني معاه اكتر منهم,nile
701,وحده تقول :  الرجوله افعال اما الشنب حتى صديقاتي عندهم,1,وحده تقول :  الرجوله افعال اما الشنب حتى النساء يمكن ان يكون لهم شنب,nile
702,من طلب العلا شافلة واسطه أما سهر الليالي ده فيلم تشوفه مع امك,1,يعنى مافيش حاجه هتمشى من غير الواسطه,nile
703,هي الدنيا مالها بردت كده ليه,1,كسفت نفسي لما اتصرفت بشكل وحش,nile
704,هو البرلمان اشتغل في تنظيم الاسره ماشاء الله,1,البرلمان التافه,nile
705,كان من الرائع اكتشاف امريكا ولكن كان اروع لو لم يتم استكشافها,1,امريكا تشكل خطرا كبيرا على جميع الشعوب بما فيهم الوطن العربي,msa
706,لي خاطيك اعييك,1,حاجة خاطية ليك اخطيها,magreb
707,الواد داخل الإمتحان أحمد زويل خرج من الإمتحان أحمد بطة,1,داخل الامتحان واثق من نفسه وماحلش حاجة وخارج يعيط,nile
708,زواج ليلة تدبيرتو عام,1,لازم تفكر في الأمر,magreb
709,خاف من سرقة منزله فباع كل أثاثه هههههههههههههههههههههههههههههههههههههه,1,لم يفكر في حماية منزله بل اعتمد حلا غريبا و غير مقبول,msa
710,زيت الزيتون يشفي كل شيء حسب جداتنا,1,زيت الزيتون فيه منافع لكل داء,magreb
711,النساء هن بعد الصحافه افضل وسيله لنقل الاخبار,1,حديث النساء بينقل الأخبار بسرعة,magreb
712,المصري اليوم : اختفاء درع الدوري من دولاب نادي الزمالك الدرع مستحملش أسبوع,1,نادى الزمالك لا يستحق الدورى ,nile
713,كي نبعثلك ميساج من الجزائر الجديدة من وين ترد عليا ههه,1,الجزائر الجديدة هي نفسها الجزائر القديمة,magreb
714,انت عملي فيها زي جماهير نادي البليله ليه,1,عملي فيها مشجع زملكاوي,nile
715,عايزين تعرفوا الشروط هوا شرط واحد يستخدم فى كل وظيفة صنية كوسة,1,الواسطة هي اهم شيء للعمل,nile
716,ممكن تريحوا دماغكم وتعينوا خطباء نصارى او كفار,1,وزارة الأوقاف لا تقوم بوظيفتها,nile
717,كل فولة مسوسة لها كيال اعور,1,مهما كان الشىء سىء يوجد من يقدره,nile
718,ترامب يريد علاج المرضى بشرب الكلور,1,جهل ترامب بأبسط المعلومات الطبية,nile
719,عشنا وشفنا وما بقى شي يدهشنا,1,مابقاش فيه حاجة نستغربها بعد تجاربنا فى الحياة,levant
720,دا عامل فيها ابو العربى,1,دا شخص مبالغ جدا,nile
721,هو مركب فى رجله عجل بجرى وراه من لاحق احصلة,1,ده سريع أوى مش لاحق أحصله,nile
722,كل شيخ وليه طريقه وكل معجن وليه كيال,1,كل شخص له طريقته الخاصة فى التصرف فى الأمور,nile
723,هي الكحكه في إيد اليتيم عجبة,1,نال شيئا كبيرا ولم يتوقع احد أن هذا الشخص أن يناله,nile
724,غالبية معلوماتي العامة حصلت عليها وانا اتغدى على الجريدة,1,ما يقرا الجريدة الا وهو يتغدى عليها,gulf
725,يوسف الشريف مش بيحضن ف المسلسلات ، شابوه يوسف الشريف,1,يوسف الشريف محترم وأخلاقه عالية,nile
726,بلاش حكايه محدود الدخل هي بقت معدوم الدخل او محروم الدخل,1,كلمة محدود الدخل اصبحت غير ذات معني لان الأمر تجاوز ذلك,nile
727,والله صوته جميل لا تقول حمو بيكا ولا حسن شكوش,1,صوته وحش مثل السرسجية المتصدرين الغناء,nile
728,ابن الوز عوام,1,الولد شاطر زى ابوه,nile
729,فى بعض الأحيان نحتاج ننزل من القافلة التى تسير وتربى الكلب ابن الكلب اللى بينبح,1,احيانا بنحتاج وقفه ومواجهة مع الشخص اللى بيأذيك,nile
730,نجح ب 60 في الميه وعامل فرح,1,فاشل وفرحان بفشله,nile
731,محمد صلاح نجم النجوم,1,محمد صلاح لعيب,nile
732,ياما نفسي فيك يا بلح بس النخل عالي,1,انت بنت جميلة وطويلة,nile
733,ثم تكتشف أنك صببت كل مشاعرك صبا في شخص مخروم,1,هتحب حد ميستاهلش مشاعرك ,msa
734,هي حلوة اه بس تبقى حلوة من غيركم لأنكم ضيقتم علينا عيشتنا ربنا يضيقها عليكم دنيا واخرة,1,البلد حلوة بس من غير الحكومة,nile
735,بنت الأصل بتخلي كوخها قصر,1,رغم الفقر تستطيع المراة الاصلية ان تجعل بيتها مثل القصر,nile
736,البنت دى عاملة فيها خضرة الشريفة,1,البنت دى مش محترمة,nile
737,انا مش عارف صراحة انت اتحدفت علينا من انهي داهية,1,أنت بلاء علينا ,nile
738,هى مش خيبة الأمل راكبة جمل اومال معايا بتيجى بسرعة ليه,1,مش للحق اخد نفسى الخيبات بتيجى ورا بعض,nile
739,زي النهارده من سنة ، محمد صلاح كان بيجي معسكر المنتخب يشتغل صلاح محسن,1,محمد صلاح كان بيضحك علي صلاح محسن ويقوله هاخدك ليفربول,nile
740,مفيش حاجه بتهون عليا مشاكل غير غبائى لانى ساعات مابهمش أن دى اصلا مشكلة,1,اللى مخلينى مرتاح البال وعادة أن أنا مش بفهم بسرعه المشاكل,nile
741,رضا عبد العال انا نفسى يجيبوك تهبد مكان البدرى عشان الجمهور يفشخك بعده وتتبط وتسكت,1,رضا عبد العال فاشل مثل البدرى,nile
742,ضحايا الجواز بقوا اكتر من ضحايا الحروب,1,انتشار ظاهرة قتل الازواج للزوجات وقتل الزوجات للازواج,nile
743,بص قول ادفعو المصاريف واحنا هندفع لكن شغل سيكون منتظما داا مش حلو وحنا عارفين ف الاخر هنقضيها اون لاينن,1,بعد جباية مصاريف المدارس يتم استكمال الدراسة اونلاين,nile
744,مربي خنزير في صباطك,1,رائحة حذائك كريهة,magreb
745,يا شين السرج على البقر,1,ما أقبح السرج على البقر,gulf
746, الموت غرباً وشرقاً وجنوباً 😥 ...ربي نرجو رحمتك ونخاف عذابك فأمنن علينا يا الله بفرجٍ قريب يُعز فيه أهل طاعتك ويُذل فيه أهل معصيتك...  ليبيا ,0,,msa
747, وندهلي حبيبي جيت بلا سؤال من نومي سرقني من راحة البال 😍✋ فيروز ,0,,msa
748,عار عار عار عار عار عار مانحن فيه عار الدماء أنهار والشهداء بالعشرات الرصاص فى الرأس والرقبة والصدر,0,,nile
749, اشغل أغنية ل  فيروز  بردنا يحتاج ,0,,msa
750,اللهم امطر على قبر  محمد حسين جمعه وعلى قبور جميع موتانا وموتى المسلمين من سحائب رحمتك يارب اللهم اغسلهم بالماء والثلج والبرد,0,,msa
751, علامات: من علامات موت القلب عدم الحزن على مافات وعدم الفرح على ماهو آت,0,,msa
752,  ماذا لو المدارس مختلطهاتذكرعندماكنت طالبه بالثانويه كانت هناك طالبات يدرسون في السعوديه مبتعثات من المغرب الجزائرواندنوسيا . ,0,,msa
753,  حلب فرانس برس:  واشنطن تتهم ضباطا سوريين بالاسم بارتكاب تجاوزات بحق المدنيين خلال جلسة  مجلس الأمن . ,0,,msa
754,رجُولتكَ وهَبتني أُنوثّه مُختَلفَه ، مَ اَجمَلني بِكَ !  صباحي,0,,msa
755,نعلم ما تمثله مصر لإفريقيا وندعم خارطة الطريق  السادة المحترمون,0,,msa
756, بمناسبة عيد المولد النبوي الشريف أهنئ الامةالاسلامية وخاصة من يفرحون بذكرى ميلاد الحبيب محمد صلى الله عليه وسلم كل عام وانتم بخير وعز وشرف ,0,,msa
757,السلطات تمنع الكثيرين من محامي اسر الشهداء من حضور محاكمة مبارك المحامون من حقهم حضور المحاكمة ولا ستتحول الى شيء اخر غير المحاكمة,0,,msa
758, صحت مبادرة  كيري الشرعية اليمنية من سبات عميق ورأينا مالم نراه منذ تحرير عدن شكرا كيريإضغط لكي يتحرر باقي اليمن  تعز   ميدي ,0,,msa
759,بعد غيبة و طول انتظار ها قد عاد  الاستقرار من جديد :))  النور قطع  الهرم,0,,msa
