id,text,dialect,sarcasm_ref,human_aggregated,#humans_sarcasm
386,شخص جاهل,msa,0,0,1
387,ما رضيت ، لكن تعودت.,levant,0,0,0
388,السيسي  بيبني قصور عشان خاطر الفقراء,nile,1,1,4
389,سيلكا جيمين وتاي وجين متى بشوفها؟,gulf,0,0,1
390,سمعت قصة وليتني ماسمعتها,msa,0,0,0
391,هذا الوقت تحتار وش تاكل,gulf,0,0,1
392,قديشا صعبه كتير بقوم من السرير عالدوام بهالبرد 😔,levant,0,0,1
393,ملهوفك اللي عسّاه فداك عاذرك لو شانت ظروفك.,gulf,0,0,1
394,مهما ببعد قلبي انا وياكك,nile,0,0,0
395,كيف اجيب لك عَذر اسمع فيه صُوتك ؟,msa,0,0,0
396,هل الشتاء يحتضر ؟,msa,0,0,0
397,دلعنا يا يناير لأن دِيسمبر زعلنا كثير,nile,0,1,4
398,تيااغو دخل 😍 ❤️ 🤍 ❤️ ❤️ ❤️,nile,0,0,1
399,"خرائطُ الطريق إليك مزقتها قررت أن أتبع قلبي نحوك فالمشاعر لا تخطيء أبداً""",msa,0,0,1
400,ودي أعيش طول حياتي بحضن حبيبتي:(,gulf,0,0,0
401,لا أحــد يتألم بــدلاً عنك فــحافظ على قلبك,msa,0,0,0
402,عامل فيها فاهم و هو بتاع بليلة,nile,1,1,5
403,اقطع عِرق وسيح دمه,nile,1,0,2
404,يارب الشوق انزع الاشواق .,msa,0,0,0
405,جا يعاونه و هو ما يحبش,magreb,0,0,2
406,ماهوا منبقاش بنتفرج علي شهداء وحرب وموت وفجأة تجيبلي أعلان سمنة,nile,1,1,3
407,انا لو ما صمت بكرا العنو جدفي استاهل,gulf,0,0,2
408,انا جيت فقدتوني ولا ماتغيرر ولااشيي؟ 😭,gulf,0,0,0
409,طول البال يهد جبال,msa,1,0,0
410,اى مره صعبه لايوجد مشكله عادى,nile,0,0,0
411,تمام يا جماعة تمام,nile,0,0,0
412,اللهمّ الإنشراح إينما ولّينا وجوهنا,msa,0,0,0
413,احمد حسن عامل فيها شيخ بجد,nile,1,1,3
414,"""وَذِكرُك لا يزالُ أَنيسَ قَلبي ❤️ """,msa,0,0,0
415,انا ما اشبع نوم بس اقوم عشان خاطر اهلي .,gulf,0,0,2
416,الحج ترامب بيسمع قرآن,nile,1,1,5
417,لا استلطفك,msa,0,0,1
418,المظهر لا يدل على المخبر دائما,msa,0,0,0
419,""" اللهم صلِ وسلم على نبينا مُحمد "" .",msa,0,0,0
420,كره كبير للقانون المدني 💔,msa,0,0,0
421,اشكالهم مره تعور القلب,gulf,0,0,1
422,انت تحبين ذلك الشخص,msa,0,0,0
423,إن غاب القط، العب يا الفار واعمل كل اللي انت عاوزه مافيش عقاب,nile,0,1,4
424,كم أود اخراج جميع الجثث الغارقه في المحيط وتدفئتها,msa,0,0,1
425,عم يدور متل الخنفسة بالطاسة.,levant,1,1,5
426,ربي إني استودعتك ادعية فاض بها قلبي فأستجبها لي يا كريم ✨ 💙,msa,0,0,1
427,فعلاً سويت انجاز 🤍,levant,0,0,0
428,تضوي نجوم الليل و يزيد ودي بك,gulf,0,0,0
429,ي بعد دنياي 🦋,gulf,0,0,0
430,إذا تعلمت التجاهل فقد اجتزت نصف مشاكل الحياة,msa,0,0,1
431,يا حُلو الأيام بالعيد 🎈 .,msa,0,0,0
432,يا ضحكةٍ فيها من الحُب عمرين.,msa,0,0,0
433,زومبي تايم 💉 💉 💊,msa,0,1,3
434,الف غصن من اليباس فز لجلك وانثنى,gulf,0,0,0
435,صغير جداً,msa,0,0,0
436,الدلاغات اكثر جماد يختفي بالدنيا,nile,0,1,4
437,أبشع سرقة هي سرقة الأعمار,msa,0,0,0
438,متى بعيش,nile,0,0,2
439,طلعت من المستشفى قولوا مبروك ✋🏼 🦋 🦋 🦋,nile,0,0,0
440,انا حظي متل  واحد اصلع ربح مشط!! 😃,gulf,1,1,5
441,دا انت اوفر انت وامك 😏,nile,0,1,3
442,اللّهم ارزقني رزق لم أتوقعه ، وخير لم أفكر به ، وتحقيق أمنيات ظننت يوما أنها مستحيلة 🤍 🤍,msa,0,0,0
443,بحس بمشاعر غريبه,nile,0,0,0
444,واحدة جميلة دخلت,msa,0,0,0
445,ابيي انام بس مو قادره أرق 💔 💔,gulf,0,0,0
446,إِنَّ رَبِّي لَسَمِيعُ الدُّعَاءِ 🤍,msa,0,0,0
447,ايه الصاروخ اللى دخل علينا ده,nile,1,1,3
448,يارب بُشرى تشبه المطر ، تروي القلب 🖤 .,msa,0,0,0
449,اتعودوا علي لبس الكمامة,msa,0,0,0
450,يارب عجل ب 20/1 ابي ارتاح بس,gulf,0,0,0
451,ياما جاب الغراب لامه ياحبيبى,nile,1,1,3
452,بولزيتش 🤯 🤯 🤯,msa,0,0,1
453,آن لهذا الليل ان ينتهي ؟,msa,0,0,0
454,اذا ما تكتفي بالشخص ياخي لا تححبب,gulf,0,0,0
455,شوفلك كلبة احسن,nile,1,1,5
456,اتعودوا علي لبس الكمامة بالذوق عشان هتلبسوها بالعافية بعد العيد,nile,1,0,2
457,⁦ 🇸🇦 ⁩ 💚 💚 💚 💚 💚  رحمة الله عليك يا أبا جناء,msa,0,0,0
458,إسمع ظراطه ولا تسمع عياطه,levant,1,1,5
459,ليس بالضرورة أن يكون رفيقك إنسان.,msa,0,0,0
460,ارحنا بها يا بلال بالله,msa,0,0,0
461,وين الذ فرنش توست؟؟ اشتهيتوو,levant,0,0,1
462,اعتدل في كل شيء إِلا في كرامتك ، إِطغَى,msa,0,0,0
463,﴿وَ اسْجُدْ وَ اقْتَرِب﴾ - صلاة الوتر 🌾,msa,0,0,0
464,اسيسيت اوريجي 😍 😂 🔥,magreb,0,0,0
465,إذا رأيت نيوب الليث بارزة... قال تظنن أن الليث يبتسم,gulf,1,0,2
466,ممكن نقص شعر ميغومي ؟,nile,0,0,0
467,جيت لية ماعندناش زبالة انهاردة -_-,nile,1,1,5
468,دماغه في الطراوة,nile,1,1,4
469,"""حين يهزك الشوق لأحدهم، عانقه بدعائك.""",msa,0,0,0
470,صهر احسن من كنة,levant,0,0,1
471,سوء اللغة و مع ذلك صحابه بيسقفوا,msa,0,1,3
472,أنا مبذاكرش أصلا,nile,0,0,1
473,بابا بيتمنى يجوزنى السنة اللى جاية,nile,0,0,0
474,مبروك ياحبيبي يانصر 😘,levant,0,0,0
475,اتأمل صورتك وتطيب الدنيا بعيوني.,msa,0,0,0
476,ارها والنبيذ ما سويتوا فيني خير,gulf,0,0,2
477,اللهم انت الشافي.,msa,0,0,0
478,كل إنسان يصبحُ رقيقاً اذا لامس قلبَهُ الحُب,msa,0,0,0
479,أحسن التصرف ولا تسرف,msa,0,0,0
480,وألقيت عليك السلام في صمت كيف حالك يا كل حالي و أحواليي.,msa,0,0,0
481,طالبان… فقه الواقع,msa,0,0,1
482,اعلان علي ربيع ظريف,nile,0,0,0
483,عاجل عطلة غداً بسبب الأحوال الجويّة,msa,0,0,0
484,عندما اجلس وأخطط لمستقبلي أشعر أن الحظ يجلس خلفي  وياكل مكسرات ويقول :  يصير خير ، كمل كمل,gulf,1,1,4
485,ده فاكر نفسه اينشتاين 😒,nile,1,1,4
486,شغل على ميه بيضه,nile,1,0,0
487,أحياناً عليك فقط أن تستريح، فالعالم يمكنه أن ينتظر. ✋ 🤔,msa,0,0,0
488,هو انت غبي كده ليه,nile,0,0,2
489,لا إله إلا أنت سبحانك إني كنتُ من الظالمين.,msa,0,0,0
490,ليه قلبي رافض ينساك ؟,gulf,0,0,0
491,أنا روحي فييه,nile,0,0,0
492,مُؤسِفٌ حقاً أن تكون : النظارة ماركة والساعة ماركة والحذاء ماركة  والشخصيَّة تقليد,msa,1,1,3
493,صباح الخير أيها المغردين ❤,msa,0,0,0
494,اللهُم عائلتِي في كل رمضان ❤️,msa,0,0,0
495,اكثر مايؤذي الصامت ثرثرة عقلة,msa,0,0,0
496,ادما شخصيت واقعيشونو تو اولين برخورد نشون نميدن تو اخرين برخورد نشون ميدن,magreb,0,0,1
497,البريمي دار عيني ❤️ ❤️,magreb,0,0,0
498,مفيش فرص ضاعت مكنش رزقي 💛,nile,0,0,0
499,مش وقتك ولا مكانك,magreb,0,0,2
500,بسم الله نبدأ,msa,0,0,0
501,مش وقت شهادة مفصله بكل,nile,0,0,1
502,الضيق 💔 🙂 🙂,msa,0,0,0
503,إبقى بجانبي ، دائماً.,msa,0,0,0
504,كمل جميلك بالصبر.. 🤍,nile,0,0,0
505,صباح النور والسرور والورد المنثور,msa,0,0,1
506,ربنا ياخدك,nile,0,0,1
507,اضحكولوا بنص شيكل🤓,levant,1,0,1
508,الإعلانات كتيرة أوى وقت مسلسل الإختيار,nile,0,0,1
509,هدف ثاني راموس,msa,0,0,0
510,لا اريدك ان تكلمني,msa,0,0,0
511,وَعَسى أن يأذن ربُّنا لِدعواتنا فَتَكُن,msa,0,0,0
512,ينسي ايه، ينسي أنه في رمضان ولاينسي أنها مراته,nile,1,1,4
513,التعليم عن بعد مينفعش معانا,nile,0,1,3
514,ولقد ضاقت الدروب ؟ ولم تعد تكفي حتى لتنهيده .,msa,0,0,0
515,تعبت في بعدي عنك كان نقصني حاجات كتير,nile,0,0,0
516,باي باي تويتر 🙃 🖤,msa,0,0,1
517,يارب انام واصحى احصلني كيندال,nile,0,0,2
518,عبلة  نخمت كامل الهة النكد عند المصريين,magreb,1,1,3
519,جيتني صدفه انتظرها 😔 ❤️ .,levant,0,0,0
520,راسي بينفجر :(,levant,0,0,0
521,اوعى تحب شخص حوله ناس كثير هتتعب,nile,0,0,1
522,كيبورد جديد عشان الهبد التمام,nile,1,1,3
523,وأنا في ضيقتي مكنتش عارفه أشكي لمين,levant,0,0,0
524,قمت متاخره عن الاختبار,gulf,0,0,0
525,عاهرة هي احلامنا تحمل منا و تلد لغيرنا,msa,1,1,3
526,لا تتذكى,levant,0,0,1
527,من أعماق قلبي، شكرًا لوجودك,msa,0,0,1
528,كان يحمل الورد بين يديه وكان أقسى عليه حتى من أشواكها,msa,0,0,0
529,يارب يسّر لي ما أخاف تعسيره ، اللهُم وكلتك وفوضتك أمري ❤️,msa,0,0,0
530,فيه لاعب ثاني فاقع كبودكم بالاسيوية فيه احتمالية لخروجه لأندية الغربيه,magreb,0,0,1
531,لا تبعِد عني ولا ثانيه,levant,0,0,0
532,أنا شخص بيحتاج يتطمن دائماً اني مش تقيل علي كل اللي حواليا,nile,0,0,1
533,انت وينك من زمان ❤️,gulf,0,0,0
534,المحنة على اخرها البنوتى ييجى خاص,magreb,0,0,1
535,لاتصدقون الوعُود جاملوها.,gulf,0,0,2
536,بسلم عليك عشان لقيتك مرة واحدة وحشتني,nile,0,0,0
537,ما تقوم تطمن علي فلوسك,nile,1,1,4
538,بسبب الحظر بناكل كتير,nile,0,1,3
539,حرام كسر الخواطر ، كثر الجفا ترا مايفييد,gulf,0,0,0
540,ذكرياتك مارضت مثلك تغيب,gulf,0,0,1
541,الزلط و التفرعين,magreb,1,1,4
542,بالحب أناني و أعترف لك بإني أضيق لو زارك سواي بمنامك ، شلون لو كان بالواقع ؟,gulf,0,0,0
543,احس الايام الحلوه مبلكتني,levant,0,0,1
544,يارب معجزة تحقق اللي ببالي ياربب .,levant,0,0,0
545,يارب والله ان كل شي فوق طاقتي وانت أرحم الراحمين.,msa,0,0,0
546,تكفى لا تضيعها تكفى,gulf,0,0,0
547,يلعن ابوك يالضرس,gulf,0,1,3
548,الندم بعدي هيفضل جوا قلبك يألمك اكتر ما اعيش العمر اعاتبك ❤,msa,0,0,0
549,ي الله ياررب يجي النووم,gulf,0,0,0
550,إن جيت صوبي صرت لك دار وأوطان 🥰 ♥️,levant,0,0,0
551,وهانَ كلُّ الذي كانَ لا يهُون,msa,0,0,0
552,هايّ 🤏🏻 .,nile,0,0,0
553,حجاازي ي اسطورتي 😍 😍 ♥️,nile,0,0,0
554,هو انت عامل زي الحمار كده ليه,nile,1,1,4
555,يارب ❤️ 💚,msa,0,0,0
556,طول ما التلاجه محتاجه  اشتغل اى حاجه,nile,1,1,3
557,لاعاد تندم في حياتك على شي و اللي يروح يعوض الله بديله,gulf,0,0,0
558,مو لازم تعرفون اهم شي اختارو,gulf,0,0,0
559,صباح الخير يا جاري . انت في حالك وانا في حالي,nile,1,0,1
560,النوم هو التعويض العادل عن كل بشاعات العالم.,msa,0,0,0
561,الشخص يعيد نفس الفعل عدة مرات دون الحصول على نتيجة جديدة,msa,0,0,1
562,يا رب عسى ما يسكن صدري إلا الأبيض من أيّامي,gulf,0,0,0
563,أعشقي ضعفيّ، أحس بقوّتي,msa,0,0,0
564,احنا شعب بنتكلم في كل حاجة حتى لو مش بنفهم فيها,nile,0,1,5
565,ليه الناس قاعده تسوي لي انفولو انستقرام يزعل,levant,0,0,1
566,انت بشع,msa,0,0,2
567,اللّهُـمَّ عالِـمَ الغَـيْبِ وَالشّـهادَةِ فاطِـرَ السّماواتِ وَالأرْضِ رَبَّ كـلِّ شَـيءٍ وَمَليـكَه ،أَشْهَـدُ أَنْ لا إِلـهَ إِلاّ أَنْت أَعـوذُ بِكَ مِن شَـرِّ نَفْسـي وَمِن شَـرِّ الشَّيْـطانِ وَشِرْكِهِ ، وَأَنْ أَقْتَـرِفَ عَلـى نَفْسـي سوءاً أَوْ أَجُـرَّهُ إِلـى مُسْـلِم,msa,0,0,0
568,هل يوجد وسيلة يلجأ إليها الإنسان هربًا من التفكير المُفرط؟.,msa,0,0,0
569,انا وعيُوني يامَليح الوجه في غرامِك غدينا ♥️,gulf,0,0,0
570,من ستر ع مسلم ستر الله عليه يوم لقيامه,msa,0,0,0
571,ابي اقوم على شي يساعدني اكمل يومي,gulf,0,0,0
572,لما تقرر متقتبسش وتعتمد علي نفسك ومصادرك فتألف مصادر زي احمد مكي,nile,1,1,3
573,صاحية وبحس صدري فيلو ضيقة الله يعلم بحالي,levant,0,0,0
574,الله وحده يعلم عن مدى الشعور الذي لا نستطيع تجاوزه، رغم كل المحاولات.,msa,0,0,0
575,يارب أرمينا بحضن الأيام السعيده,msa,0,0,1
576,بين كسب القلوب وكسرها خيط رفيع إسمهُ أسلوب..!,msa,0,0,0
577,دنيا كدابه..,nile,0,0,1
578,لعيونك الكل خليته 💗,gulf,0,0,1
579,بصراحه كده انا مش مستعده ل امتحنات بكره دي 🙂,nile,0,0,0
580,الحين انتوا من صدقكم تشوفون جيسونق توب ؟؟!!,gulf,0,1,3
581,المواطن الأردني يتلفظ بألفاظ سيئة وبذيئة أثناء قيادته المركبة,msa,0,0,0
582,صوتك يسفر قلبي .. و يطير به فووق وش عاد شوفة مبسمك و المحيا 💕,gulf,0,0,0
583,""" تراكمت الأشياء الجميلة بقربك ، وأحببتك"" ❤️",msa,0,0,0
584,نغزات قلب.,msa,0,0,0
585,بدري!! لليش مروح هلكيت ... خليك اخرى شوي,levant,1,0,0
586,ترو بيوتي بتنزل اليومم,gulf,0,0,0
587,ماللعمر في بعض الأيام قيمه لاغاب عنك اللي تحبه وتغليه .,gulf,0,0,0
588,حقك عليّ بس ما باليد حيلة,nile,0,0,0
589,أحبّ كيف تقدر تموتني ضحك 😭,msa,0,0,1
590,. صباح الخير  🌹,msa,0,0,0
591,نصيحه لا تعطون شعوركم حق احد عشان ما تصلعون,gulf,0,0,2
592,استغفرالله العظًيم واتوبْ إليه,msa,0,0,1
593,نت بطيئ,msa,0,0,0
594,أين النوم ! إنني لا أراه 💔,msa,0,0,2
595,انفع اسوي اعلانات صح؟,gulf,0,0,2
596,وجهك بشع,levant,0,0,1
597,صير له كل شي ، أو لاشي !بس لا تصير الجرح بعد ما كنت الضماد؛,msa,0,0,0
598,اذا كنت تستطيع ان تمنحني شيئاً لاتتردد . -,msa,0,0,0
599,اللهم ياكقلب القلوب والابصار ثبت قلوبنا على دينك,msa,0,0,0
600,حصري سعودي24: النظام القطري ينفذ اجندت ايران,msa,0,0,0
601,اضحك وامثل اني بخير ،ليت يعرفون ان هالوجه وراه احزان وطعون ياهيّ كثييّيره!,gulf,0,0,0
602,اؤمن بأن مكانة الأشخاص لا تُهدم إلا بأيديهم .,msa,0,0,0
603,21/1/2021 ❤  يفوز بأحلى يوم بسسنه ❤ 😌,nile,0,0,0
604,نيفك يرقد معاك و لا تفرشلو,magreb,1,0,2
605,صباح الاشياء الحلوه ♥️,msa,0,0,0
606,اكبت العواطف حتى الثلاثاء ٥:٠٠ م 💔,msa,0,0,0
607,يارب اصحى على شي حلو يفرحني ❤️,nile,0,0,0
608,شو وضعي و انا اجوف فيديوات اكل,gulf,0,0,2
609,لحم كلاب بملوخية,nile,1,1,4
610,ماعطيت الحب غيرك وانت تجرح ماتمل,levant,0,0,0
611,افف بسس.,levant,0,0,0
612,الماء اللي ماشي للسدرة الزيتون اولى بيه,nile,1,0,1
613,الي ميعرفش يقول عدس,nile,1,1,5
614,الواحد ماله خلق حتى يعصب,levant,0,1,3
615,حبك غاالي 🖤,nile,0,0,0
616,هالحين حان الوقت لرد الاعتبار,gulf,0,0,0
617,من بد خلق الله له القلب تواق,msa,0,0,0
618,إضرب المربوط يخاف السايب,nile,1,1,3
619,كل سنه وانتو طيبين ياجدعان,nile,0,0,1
620,هم حياتي 😩 😩,msa,0,0,0
621,"لا تحزن عندما يزداد وزنك لأن نيوتن قال: كلما زادت الكتلة زادت الجاذبية""  ونيوتن عاد وش مصلحته يكذب""",gulf,1,1,5
622,لو مكملين عن نفس مستوى الشوط الاول كان فزنا,nile,0,0,0
623,فاشل ويدعى على التاس,msa,0,1,3
624,متى يدخل فصل الربيع بالضبط؟,msa,0,0,0
625,ديل الكلب لن ينعدل لو علقت فيه قالب,nile,1,1,4
626,دير فيا الخير قبل ما نموت,magreb,0,0,0
627,انت أذكى واحد بالعيلة؟,nile,0,0,2
628,نفسي اشتري كاميرا فورية,levant,0,0,0
629,ياحياة الشقا ولا حياة الزرا,msa,0,0,0
630,لو زاد وزنك معناه زاد جاذبيتك من رأى نيوتن,gulf,0,1,4
631,يارب تضيفوني 🐹,nile,0,0,0
632,نت تشف و حاب تطير,magreb,0,1,3
633,""" وَدَدتُ أن أخرُجَ مِن الدّنيَا كِفافًا لَا لِي وَلَا عليَّ"" 💜",msa,0,0,0
634,بابا شويه وينوض وانا مازالت واعيه,gulf,0,0,2
635,شعب غبي لا يدري ما يفعل,msa,0,1,4
636,لو امك خلفت عشرة زيك,nile,1,1,4
637,بليس يتعلم منها التحرميت,magreb,1,1,5
638,رمضان كريم 🌙 💙,msa,0,0,0
639,"مَنْ أُلْقِيتْ في رُوعه مَعانٍ وأَفكار أو تفتَّقتْ عنها بَصيرتُه كأنَّ الوَحْيَ قد هبَط عليه. ""هُو في عِداد المُلْهَمين""",msa,0,0,0
640,الريفر الاول احلووت المباراة,nile,0,0,0
641,مدري الصداع اش يبا مني صراحه,gulf,0,0,1
642,هي الوحيده الكويسه ذا الترم لو موب موجده كان انجلطت 😞 ❤️ ❤️ ❤️,gulf,0,0,1
643,اللهم أُبليه بشوقٍ مُتعب ف يَعود مشتاقًا):,msa,0,0,0
644,غير مهتم,msa,0,0,0
645,اسحب مايد و نزل خالد,gulf,0,0,1
646,ما تجيب سيرة لحدا,levant,1,0,0
647,الكابتن عامل فيها ابو العريف وشال 5,nile,1,1,5
648,ييا مُر هالشعورر) :,gulf,0,0,0
649,ما ابغي ارد 👀,gulf,0,0,0
650,وجهٍ ضحوك وجوفٍ بالهوى شاقي .,gulf,0,0,2
651,مش حزينه بس مش مبسوطه :(,nile,0,0,0
652,فقير ومسرف,msa,0,1,3
653,قبل سنتين نفس هالوقت قضيت الشتويه اتابع مسلسل هندي 🦦,levant,0,0,2
654,صباح الاحساس والطيبه,msa,0,0,0
655,مبروك عليك الصفقة يا ريس ، تدوبها في عرق العافية,nile,1,0,2
656,ضربني وبكى، وسبق واشتكى,nile,1,1,4
657,الشخصين اغبياء,msa,0,0,2
658,رضاك بدنيتي هو سعدي والمربوح,magreb,0,0,0
659,كنــھہ مــلل 🥲 💔 !,levant,0,0,1
660,امتحان الرياضه اليوم معش خلي عندي نيه نقرا اللغه العربيه,magreb,0,0,2
661,انت شخصي المُفضل اليوم و غداً والى الأبد 🤍,msa,0,0,0
662,يُشبهني ذلكَ الوردّ الذي يتغافل الرصيّف و يَنبُت,msa,0,0,1
663,اللهم مافي القلب 🙏🏻 🤍,msa,0,0,0
664,جا يعاون فيه على قبر بوه هربلو بالفاس 🏃‍♂️,magreb,1,1,4
665,الححمدلله دائمًا وأبدًا 🤍,msa,0,0,0
666,وش مسهر عيونك الحلوه.,gulf,0,0,0
667,عندما تلبس القبيحه ملابس غاليه تصبح جميله,msa,0,1,5
668,دة مش بيعرف يفكر خالص,nile,0,1,3
669,اكلة اكلتها ومستحيل تاكلها مره ثانية ؟ -كشري.,nile,0,0,1
670,حتة حلم في وقته جدا حسيته بيراضيني,nile,0,0,1
671,الفستان زفت عليكي,nile,0,0,0
672,غبي,msa,0,0,1
673,كم من حق للنصر سلبه التحكيم الموقر واللجان العادله والنزيهه !!,msa,0,0,2
674,قلوبنا بسيطة يفرحها كل اهتمام بسيط 💕,msa,0,0,0
675,الفقير انسان ليس له اقارب,msa,1,0,1
676,وصلنا الفايف جي أخيرا 😍 ❤,nile,0,0,0
677,ربي لك الحمد,msa,0,0,0
678,"الحكومة بتراهن علي وعي الشعب, والشعب ولا دريان",nile,1,1,4
679,إمك حملت فيك ٩ أشهر وبالاخر طلعت مشجع لبرشلونة؟,gulf,1,1,5
680,أنا إنسان لا يصلح للحياة في فصل الصيف .,msa,0,1,3
681,العصيدة من افضل وارقى انواع الشوكلاته السويسريه..,gulf,0,1,5
682,التونة تعند مع الصيادين علشان تخرج من الماية وتعند معى علشان تخرج من العلبة,gulf,0,1,3
683,الحمدلله 🥰 ❤️,msa,0,0,0
684,كي تحب تطلب حاجة اهدر طول  حاب اللبن و مدرق الطاس,magreb,1,1,3
685,مفيش حده زيه,nile,0,0,1
686,انا طمعان في كلك ❤️,nile,0,0,0
687,ياحلاوتك ...البية رومانسى قوى ..اقرع ونزهى,nile,1,1,4
688,احنا 100 مليون مفتي,nile,1,1,5
689,واسمك بطّل يعنيلي,msa,0,0,1
690,يارب لك الحمد ❤️ الحمدلله على نعمة المطر 🌧,msa,0,0,0
691,توتنهام فخر لندن 😂,gulf,0,0,1
692,انا واومجي صاحيين مومنت,magreb,0,0,0
693,لم تمر ليلةً على روحي و لم أُحبكِ فيها ❤️,msa,0,0,0
694,سسووبهانن الله هه,magreb,0,1,3
695,انزق ف جوي 👍🏼,gulf,0,0,1
696,وصلت لأقصي مراحل الارهاق النفسي.,msa,0,0,0
697,احب نامسوك 😭 😭 😭 😭,magreb,0,0,1
698,اكثر شي يقهرك لما تتهاوش مع شخص بالواتس اب ويكون اسرع منك بالكتابة لانك مش هتقدر تجاريه ف الكتابة,gulf,0,0,2
699,في غيرنا .. بس مافي نفسنا ..,msa,0,0,0
700,وإن كان تبغي فراقي لا تعلّمني خلّك مقفي وأنا اللي بفهم الباقي .,gulf,0,0,0
701,إني أحيا فعلًا بسبب رسالة.,msa,0,0,0
702,حبٍ يموت .. وحبٍ أقوى من الموت,levant,0,0,1
703,الضحكهه ❤️ ❤️ ❤️,msa,0,0,0
704,يا صباح الخير بحق و حقيقة,nile,0,0,0
705,نحنُ اللّذان لا تجمعُنا صورةٌ ولا طريق.,msa,0,0,0
706,لمّا يطيب خاطري لو تحط هالدنيا بكفوفي أصير أعمى ولا أشوفّك .,levant,0,0,1
707,شعرك يتشبه للقرنون كما محمد صلاح,magreb,1,1,5
708,دفاع من وراء الشاشة فقط,msa,0,1,3
709,والصمت صار عنواني وخياري,msa,0,0,0
710,نفسي كل حاجة ترجع كويسة زي ما كانت.,nile,0,0,0
711,قلبك إيش؟ كل هذي القسوة ليش؟ جبت من وين القساوة ! وأنا من حقي أعيش 🎶 ..,gulf,0,0,0
712,لا يضع الله في عقلك حلماً إلا وقد أعطاك القدرة على تحقيقه فلا تيأس ..,msa,0,0,0
713,واتقوا يومآ ترجعون فيه الى الله ثم توفى كل نفس ماكسبت وهم لايظلمون,msa,0,0,0
714,يا اكون الكل يا اخليك للكل.,levant,0,0,0
715,افرح ياطريس بيتروس ماهو فيه,gulf,0,1,5
716,دا انجليزي بتاع فلاحين,nile,1,1,5
717,العالم مش سوي,msa,0,0,0
718,اتغلبنا فى الماتش 5,nile,0,0,0
719,كاريو والاهداف الاسطورية,msa,0,0,0
720,بعض الاشخاص يرتدون ماركات اصلية ولكن شخصياتاهم مزيفة وليست اصلية,msa,0,0,2
721,لا الدنيا سايعتني و لا أنا سايعتها,gulf,0,0,1
722,زمان منكوس يرفع الرجول وينكس الرؤس,gulf,1,0,2
723,المصريين ماعندهمش وعي,nile,0,0,2
724,نكسر عيون أحزاننا بـ ابتسامهہ ، كم ضيقةٍ جتنا شكت من فرحنا ..,msa,0,0,1
725,حاجه واحده بس 😭 😭,nile,0,0,0
726,اليوم خمييس 😍,msa,0,0,1
727,عجب الكهربا مش قاطعة عهل ثلجات؟,levant,0,1,4
728,عمليات التجميل تغير المظهر الخارجي ولكن لا تغير الجينات الوراثية,msa,0,0,0
729,مافي احد بالممشى الهجره بالمدينه,gulf,0,0,1
730,أن الصر يمكن الإنسان من الانتصار على أصعب العوائق لو كانت في ثقل الجبال,msa,0,0,0
731,سالم والله لاعب عظيم,msa,0,0,0
732,يعتبر اليوم اللي فعلا روقت بالالبوم وفصفصته 💃🏻 💃🏻,nile,0,0,1
733,المعرفة مؤذية أحيانًا كثيرة,msa,0,0,1
734,عـسـاك غـيـر دربـي مـا تـدل 🤍,gulf,0,0,0
735,ما هو من طبعي أساسا لا عتاب ولا بكي,gulf,0,0,0
736,نمت نومه عمييقه اعمق شي,levant,0,0,0
737,شنو الجو الكتمة دا 🥵,gulf,0,0,1
738,النوم النووم 💤,msa,0,0,0
739,مينيز جلد امرابط,msa,0,0,1
740,البا يا البا,levant,0,0,1
741,ماسـجّـل اسمك بالتواريخ ساسه,magreb,0,0,0
742,بلد فاسدة وبتختار الأم المثالية رقاصة زى فيفى عبده,nile,0,1,5
743,، العالم الراحلين,msa,0,0,0
744,وش ذا اليوم الطويل,gulf,0,0,0
745,هلاليستا مستعدين لتعثر اليوم 💔,msa,0,0,2
746,ې رب ، ساعدني.,msa,0,0,0
747,ايه اللى انت جايبه ده مش خلو وملوش فايدة,nile,0,0,2
748,شخص يتحدث كثيرا ويدعي المعرفه وهو علي العكس تماما,msa,0,0,2
749,ماتغديت مين راح يعزمني؟,gulf,0,0,0
750,عليم الله إني أحبه بكل مافيني,gulf,0,0,0
751,يارب تلغي المحاضره يارب 🙏🏻 امين 🙏🏻,msa,0,0,1
752,بداخلي ملجأ أيتام أقترب يمكنك سماع بكائهم.,msa,0,0,1
753,أنا على طول جعان,nile,0,1,4
754,آه ياثقل قلبي بهاللحظه .,gulf,0,0,2
755,ربي يسعدكم ويباعدكم,gulf,0,1,3
756,فصل يعششق الحلطمه والسلبيه ويموتو بدونها وربي,magreb,0,1,3
757,جون جميل,nile,0,0,0
758,وويونق باس هونقي 😳,magreb,0,1,3
759,بسم الله نبدا نشوف الحلقة الأولى من هجوم العمالقه,msa,0,0,0
760,الكسر بالقلب ما يلقى جبير,gulf,0,0,0
761,الطف من البسمه ، مرورك على البال,msa,0,0,1
762,دعك من اللف,nile,0,0,0
763,انفك كبير,msa,0,1,5
764,عبلة كامل ادورها درامية حزينة,msa,0,0,0
765,الشخص الكاذب لا يستطيع خداع الاجهزة,msa,0,0,1
766,خلف الصبر أشياء جمِيلة 🧡,msa,0,0,0
767,""" أحيانًا نكون بحاجة إلى أجوبة مُطمئنَّة لا منطقيَّة",msa,0,0,0
768,شغل ممتاز,msa,0,0,0
